k10,k_kinetics,xNH3_r2,xNO3_r2,xNO2_r2,xNOrg_r2,xN2_r2,ANH3_r2,ANO3_r2,ANO2_r2,ANOrg_r2,AN2_r2,r2_mean,r2_all
61,00000111101,0.76502368202885,-3.01051253260536,-1.6182643168193405,-0.9671583746178303,-0.34571375198391796,0.7922292623569156,-2408.3851864119706,0.04014524076031967,-62.47058302075746,-0.3181274202252351,-247.55181476438338, -0.04569978200927349
113,00001110001,0.7201020426974909,-2.9154289237469397,-3.5790849960889837,-0.9677643921813233,-0.373536846147559,0.7793381526232215,-2404.2554609769713,-1.4074211640619883,-79.48029669271156,-0.29884392164841733,-249.1778397718237, -0.04517914031016468
45,00000101101,0.8298326050645305,-3.154491246387451,-0.7212722700924488,-0.9662477501258928,-0.33831581811023237,0.8109155014590829,-2407.624179250078,-1.3289703361566345,-54.853496697599425,-0.30776970877168375,-246.7653994970798, -0.044797161227743354
53,00000110101,0.7874072327614029,-4.492418080318675,-1.018371355504906,-0.3181506751630805,-0.9383859608277987,0.8402961939487604,-3194.568842685666,-0.36963316915479916,-5.44389843397431,-0.9344616418703096,-320.645645857577, 0.6362706108802201
115,00001110011,0.7201029573352136,-2.8889759121416456,-5.269139912916229,-0.9681427712916437,-0.39688692491689026,0.7766233640806083,-2403.1378991373176,-0.1266995379339826,-88.00786819063333,-0.30782469159044856,-249.96067107573262, -0.04560817225617764
573,01000111101,0.7743858691893692,-3.0113793251275114,-1.4320503209173223,-0.9670256946121418,-0.34441488924675556,0.7919072759351604,-2408.3763508764396,-1.7910601498251917,-62.34528374878396,-0.30660839022622954,-247.70078802500544, -0.04501365853770323
43,00000101011,0.7258865635769377,-2.901743124299965,-5.159700402431477,-0.9680769668350033,-0.3789028639631693,0.7792717711442374,-2403.188784028499,-1.1459205761716924,-85.72058943226227,-0.31094292773423504,-249.8269501987476, -0.04563391405392725
51,00000110011,0.8713041516131238,-4.036640211743177,-0.9054677833194271,-0.31663112766575274,-0.8201411809298049,0.8774095371895885,-3177.529837365923,-0.07864505322209348,-1.1416660836654002,-0.9568030920477155,-318.40371182097135, 0.6365200673628361
593,01001010001,-1003.9821688212733,-6.155793811124943,-1.803688664264337,-4.245080800926381,-1.7923030688524206,0.9462073341472923,-18263045.56218305,-0.9430355401937567,0.9931166760831507,-2.511362079039253,-1826406.5056291823, 0.9965727799923934
117,00001110101,-96.30143866423168,-23.826536813645056,-1.8077971284795917,-1.8848412198392421,-1.7922993797787115,0.8954001819582982,-2034.786183912791,-1.5910581152198806,-0.13619740775393718,-2.1956606247300887,-216.3426613084511, 0.9701729465247855
