k_kinetics,ks_res,r2
"(0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0)","[ 2.67300014e-04  2.05742174e-06  4.03007649e-04 -2.77208505e-06
  5.35290924e-07 -5.95670843e-07  3.29843906e-04 -8.58423285e-03
  1.31445606e-02  8.39704285e-05 -2.00459888e-02]","0.7975740240477689"
"(0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1)","[ 2.64080463e-04  2.10980084e-06  4.06289638e-04 -2.83728770e-06
  5.35185741e-07 -5.95541277e-07  3.29768818e-04 -8.69478262e-03
  1.31446110e-02  8.40771805e-05 -3.29315182e-04]","0.7991579472969019"
"(0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0)","[ 8.67199125e-04  4.29938764e-06  1.46436820e-03 -5.56413857e-06
  5.11746544e-07 -5.64242096e-07  2.43473477e-04 -7.62047313e-03
  2.33824028e-02  3.96569419e-03 -1.93692373e-02]","0.7764589064546852"
"(0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1)","[ 8.71861198e-04  4.35729609e-06  1.46934293e-03 -5.63622491e-06
  5.11640198e-07 -5.64094515e-07  2.43123634e-04 -7.71879130e-03
  2.33201417e-02  3.95609485e-03 -3.17832046e-04]","0.7778275753953756"
"(0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0)","[ 1.33343253e-03  4.26248652e-06  1.21058420e-03 -5.51814716e-06
  5.21670551e-07 -5.76291235e-07  2.51852542e-04 -7.78810501e-03
  2.29378267e-02  4.86241054e-05 -1.93703570e-02]","0.7753939875052167"
"(0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1)","[ 1.33694313e-03  4.32075379e-06  1.21619539e-03 -5.59075655e-06
  5.21542771e-07 -5.76118711e-07  2.51481542e-04 -7.88636137e-03
  2.28766041e-02  4.85071659e-05 -3.17868569e-04]","0.7767678525296554"
"(0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0)","[ 1.56088577e-04  2.05044893e-06  3.61670667e-05 -2.76339776e-06
  3.91100026e-05 -3.16010713e-07  9.87002725e-04 -3.05422560e-02
  1.35455757e-02  5.41390398e-03 -2.25010050e-02]","0.8124229761423063"
"(0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1)","[ 1.55775724e-04  2.10328551e-06  3.63517837e-05 -2.82919866e-06
  3.91093105e-05 -3.16004961e-07  9.86995192e-04 -3.09179274e-02
  1.35459134e-02  5.41454839e-03 -3.69194416e-04]","0.8142215784029665"
"(0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0)","[ 6.82029293e-04  2.04958591e-06 -2.26833560e-04 -2.76232483e-06
  4.02208711e-05 -3.25276951e-07  1.00828592e-03 -3.10869190e-02
  1.32833778e-02  7.00507875e-05 -2.24984570e-02]","0.8108182631243175"
"(0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1)","[ 6.80292925e-04  2.10261394e-06 -2.25936986e-04 -2.82836483e-06
  4.02171829e-05 -3.25246211e-07  1.00820126e-03 -3.14618783e-02
  1.32844329e-02  7.01085025e-05 -3.69166026e-04]","0.8126206546680973"
"(0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0)","[ 1.30036039e-03  4.10869269e-06  6.08911457e-04 -5.32664076e-06
  3.77204746e-05 -3.03881702e-07  8.01008016e-04 -2.92045334e-02
  2.50420683e-02  3.06553416e-03 -2.24977412e-02]","0.793374165640843"
"(0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1)","[ 1.30546227e-03  4.16563271e-06  6.11790318e-04 -5.39755309e-06
  3.77130711e-05 -3.03817354e-07  8.00123318e-04 -2.95355674e-02
  2.49888447e-02  3.05506593e-03 -3.68522584e-04]","0.794977517198096"
"(0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0)","[ 1.76689657e-03  4.06682238e-06  3.52736476e-04 -5.27449696e-06
  3.87819181e-05 -3.12746414e-07  8.26985197e-04 -2.97405593e-02
  2.46110279e-02  3.40579638e-05 -2.24954488e-02]","0.7925733977964768"
"(0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1)","[ 1.77064462e-03  4.12403836e-06  3.56359025e-04 -5.34575043e-06
  3.87715578e-05 -3.12657419e-07  8.26027151e-04 -3.00710738e-02
  2.45590512e-02  3.39337105e-05 -3.68502400e-04]","0.7941818668269308"
"(0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0)","[-2.76988362e-04  2.05803644e-06  6.73433162e-04 -2.77284497e-06
  3.70514024e-05 -2.98739940e-07  9.16880690e-04 -8.37326163e-03
  1.32968902e-02  6.30840968e-03 -2.00511952e-02]","0.7983995663444543"
"(0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1)","[-2.78979544e-04  2.11044246e-06  6.76101511e-04 -2.83810970e-06
  3.70427041e-05 -2.98667021e-07  9.16599352e-04 -8.48389246e-03
  1.32962385e-02  6.31252078e-03 -3.29384247e-04]","0.7999797104843785"
"(0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0)","[ 2.50466451e-04  2.05752193e-06  4.11499014e-04 -2.77220987e-06
  3.81605231e-05 -3.07991174e-07  9.36895092e-04 -8.53937896e-03
  1.30323416e-02  8.44620351e-05 -2.00380389e-02]","0.7964974589833744"
"(0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1)","[ 2.47204956e-04  2.10978224e-06  4.14800705e-04 -2.83728752e-06
  3.81491299e-05 -3.07895770e-07  9.36540626e-04 -8.64986675e-03
  1.30323346e-02  8.45707022e-05 -3.29186173e-04]","0.7980805561789192"
"(0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0)","[ 8.36310154e-04  4.27967406e-06  1.46825359e-03 -5.53957320e-06
  3.49805504e-05 -2.80858048e-07  6.96831044e-04 -7.59131525e-03
  2.32885358e-02  4.02519405e-03 -1.93661746e-02]","0.7758987664513302"
"(0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1)","[ 8.40951701e-04  4.33767840e-06  1.47324068e-03 -5.61181442e-06
  3.49667060e-05 -2.80739389e-07  6.95636514e-04 -7.68963950e-03
  2.32262055e-02  4.01568614e-03 -3.17784561e-04]","0.7772676939866184"
